Dataset,SubmissionDateTime,PublishTime,SettlementDate,Region,GspGroupId,ForecastDemand60,ForecastDemand100
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,South East,N/A,4661,7769
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,South West,N/A,2994,4989
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,Midlands,N/A,3096,5161
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,North East,N/A,2041,3401
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,North West,N/A,1982,3303
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,South Scotland,N/A,952,1586
RZDF,2025-12-31T11:45:00Z,2025-12-31T11:45:04Z,2026-01-01,North Scotland,N/A,81,134
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,South East,N/A,4620,7701
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,South West,N/A,2967,4946
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,Midlands,N/A,3069,5116
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,North East,N/A,2023,3371
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,North West,N/A,1965,3275
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,South Scotland,N/A,943,1572
RZDF,2025-12-31T09:00:00Z,2025-12-31T09:00:05Z,2026-01-01,North Scotland,N/A,80,133
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,South East,N/A,6753,11256
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,South West,N/A,4337,7229
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,Midlands,N/A,4486,7477
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,North East,N/A,2956,4927
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,North West,N/A,2872,4786
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,South Scotland,N/A,1379,2298
RZDF,2025-12-30T17:00:00Z,2025-12-30T17:00:05Z,2025-12-31,North Scotland,N/A,117,195
RZDF,2025-12-30T11:45:00Z,2025-12-30T11:45:05Z,2025-12-31,South East,N/A,6713,11188
