date,appliance,scheduled_time,predicted_demand,predicted_price,score
2026-04-29,washing_machine,2026-04-29 21:30:00,25710.19,55.499746375241045,0.3723833360012242
2026-04-29,dishwasher,2026-04-29 20:00:00,27382.88,68.8263961378475,0.511517469463401
2026-04-30,washing_machine,2026-04-30 00:00:00,20776.88,31.565868093495524,0.042588332819313277
2026-04-30,dishwasher,2026-04-30 03:30:00,21662.69,27.946883025804375,0.06031563385080914
2026-04-30,EV_charger,2026-04-30 05:00:00,22660.56,29.607136109405644,0.1103530463647477
2026-05-01,washing_machine,2026-05-01 03:00:00,21822.17,27.901902223616222,0.06668625346194824
2026-05-01,dishwasher,2026-05-01 01:30:00,22519.84,30.486534427696878,0.10913266841848045
2026-05-01,EV_charger,2026-05-01 05:00:00,22657.99,29.30757661292554,0.10867661662546027
2026-05-02,washing_machine,2026-05-02 03:00:00,21714.88,26.09065210705047,0.05274920402605465
2026-05-02,dishwasher,2026-05-02 01:30:00,22487.77,29.26829855484963,0.10141950470814676
2026-05-02,EV_charger,2026-05-02 05:00:00,22142.6,25.21628126938469,0.06588472864316874
2026-05-03,washing_machine,2026-05-03 03:30:00,21848.37,24.77503766494368,0.05138390737168736
2026-05-03,dishwasher,2026-05-03 02:00:00,22804.26,26.121602563648224,0.0980383077922363
2026-05-03,EV_charger,2026-05-03 05:30:00,23268.94,23.43975927664447,0.10323204874348002
2026-05-04,washing_machine,2026-05-04 03:00:00,23576.09,25.699594672028002,0.12779917756534073
2026-05-04,dishwasher,2026-05-04 01:30:00,24561.67,27.602155310653337,0.1785974003088257
2026-05-04,EV_charger,2026-05-04 05:00:00,23975.51,27.615200597046275,0.1543844531480802
2026-05-05,washing_machine,2026-05-05 03:00:00,22875.46,27.827287953823202,0.10992709434223662
2026-05-05,dishwasher,2026-05-05 01:30:00,23524.96,30.13504290904906,0.14892700365452355
2026-05-05,EV_charger,2026-05-05 05:00:00,23860.72,29.593869837936182,0.15999940672918878
2026-05-06,washing_machine,2026-05-06 03:00:00,22499.84,27.925629327382442,0.09488266730793739
2026-05-06,dishwasher,2026-05-06 01:30:00,22987.54,30.30666819436197,0.12756418693502636
2026-05-06,EV_charger,2026-05-06 05:00:00,23003.67,29.61968112983108,0.12463191405253649
