SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,SOURCE_FILE,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,SCOTTISH_TRANSFER,TIMESTAMP,YEAR,MONTH,DAY,HOUR,MINUTE,DAY_OF_WEEK,DAY_NAME,IS_WEEKEND,GRID_STRESS_SCORE,RENEWABLE_RATIO,DAY_OF_YEAR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,ND_LAG_1,ND_LAG_48,ND_LAG_336,ND_ROLLING_6H,ND_ROLLING_24H,ND_ROLLING_7D,IS_PEAK_DEMAND,TOTAL_RENEWABLE_GENERATION,TOTAL_RENEWABLE_CAPACITY,RENEWABLE_UTILIZATION,TOTAL_INTERCONNECTOR_FLOW,ABS_INTERCONNECTOR_FLOW,INTERCONNECTOR_DEPENDENCY,STORAGE_RATIO,SCOTLAND_TRANSFER_RATIO,IS_PEAK_PRICING_PERIOD,IS_OFF_PEAK,CARBON_INTENSITY_SCORE,DEMAND_PRESSURE,PEAK_LOAD_INDICATOR,GRID_STATE,PEAK_RISK,CARBON_INTENSITY,NATIONAL_PRICE,MARKET_VOLATILITY_INDEX,TIME_OF_USE_SIGNAL,MARKET_CONGESTION_INDEX,CARBON_PRICE_SIGNAL,PRICE_CATEGORY
2026-04-07,48,22869,26109,20972,2012,6606,0,22126,0,6,1506,993,-823,-452,-527,-22,demanddata_2026.csv,210.0,997.0,-396.0,-514.0,2186.0,2026-04-07 23:30:00,2026,4,7,23,30,1,Tuesday,0,0.3725076617104327,0.0700240141997007,97,-0.2588190451025215,0.965925826289068,0.8660254037844387,-0.4999999999999998,23253.0,21929.0,24861.0,27274.75,22702.0,23789.44047619048,0,2012,28732,0.0700240141997007,972.0,6440.0,0.2815916047223437,0.0,0.0955837341495408,0,0,0.6284247159461702,0.2174457789682882,0,MODERATE,0.2607553631973029,0.6284247159461702,75.96,0.0139118897128218,1.0,1.015798027955358,1.1400731676804228,Moderate
2026-04-08,1,22580,25086,20639,1894,6606,0,22126,0,7,1504,992,-335,-451,-526,452,demanddata_2026.csv,20.0,997.0,-173.0,-514.0,2229.0,2026-04-08 00:00:00,2026,4,8,0,0,2,Wednesday,0,0.355613734468143,0.0659172380190025,98,0.0,1.0,0.8660254037844387,-0.4999999999999998,22869.0,21748.0,24019.0,26879.5,22719.33333333333,23785.15773809524,0,1894,28732,0.0659172380190025,1966.0,5964.0,0.2641158496080776,0.0,0.0987113059651919,0,1,0.6255123050332881,0.2112027996198047,0,MODERATE,0.2489296141277,0.6255123050332881,56.08,0.1836719259568937,0.82,1.0319536244446852,1.1394164655099073,Very Low
2026-04-08,2,22761,25212,20894,1775,6606,0,22126,0,7,1505,992,-304,-451,-527,474,demanddata_2026.csv,-5.0,997.0,-143.0,-514.0,2429.0,2026-04-08 00:30:00,2026,4,8,0,30,2,Wednesday,0,0.3313463059122302,0.0617756586503323,98,0.0,1.0,0.8660254037844387,-0.4999999999999998,22580.0,22003.0,23774.0,26414.416666666668,22735.125,23782.14285714286,0,1775,28732,0.0617756586503323,2024.0,5912.0,0.2597311308320885,0.0,0.106712942623671,0,1,0.6285016949630949,0.2151127624643567,0,MODERATE,0.2319424141385611,0.6285016949630949,64.35,0.3178929102604038,0.82,1.032896305125149,1.1400905252199358,Low
2026-04-08,3,23024,25028,21069,1687,6606,0,22126,0,7,1504,992,340,-451,-527,650,demanddata_2026.csv,-5.0,997.0,380.0,-514.0,2284.0,2026-04-08 01:00:00,2026,4,8,1,0,2,Wednesday,0,0.3625321223273517,0.0587129781087947,98,0.2588190451025207,0.9659258262890684,0.8660254037844387,-0.4999999999999998,22761.0,21867.0,24112.0,25896.33333333333,22759.229166666668,23778.904761904763,0,1687,28732,0.0587129781087947,3366.0,6360.0,0.2762214983713355,0.0,0.0991965255157437,0,1,0.6354912134722692,0.2207940896915233,0,MODERATE,0.2537724856291461,0.6354912134722692,56.16,0.4548307188727846,0.82,1.0547079856972583,1.141666550071213,Very Low
2026-04-08,4,22882,24885,20982,1598,6606,0,22126,0,6,1505,993,381,-451,-527,657,demanddata_2026.csv,-5.0,997.0,422.0,-514.0,2248.0,2026-04-08 01:30:00,2026,4,8,1,30,2,Wednesday,0,0.3646551081618299,0.0556154943792851,98,0.2588190451025207,0.9659258262890684,0.8660254037844387,-0.4999999999999998,23024.0,22407.0,24114.0,25350.25,22769.125,23775.23809523809,0,1598,28732,0.0556154943792851,3458.0,6452.0,0.2819560372328803,0.0,0.0982388672813879,0,1,0.6376346032232842,0.2177266050289467,0,MODERATE,0.2552585757132809,0.6376346032232842,62.16,0.0658165461473999,0.82,1.0562032722938564,1.1421498502454868,Very Low
2026-04-08,5,22908,24913,21084,1485,6606,0,22126,0,8,1504,992,502,-451,-527,910,demanddata_2026.csv,-5.0,997.0,618.0,-514.0,2393.0,2026-04-08 02:00:00,2026,4,8,2,0,2,Wednesday,0,0.3509071125568576,0.051682734138447,98,0.4999999999999999,0.8660254037844387,0.8660254037844387,-0.4999999999999998,22882.0,21788.0,23803.0,24745.916666666668,22792.45833333333,23772.574404761905,0,1485,28732,0.051682734138447,4026.0,7020.0,0.3064297874197913,0.0,0.1044567637173163,0,1,0.6451672494152486,0.2182882571502635,0,MODERATE,0.2456349787898002,0.6451672494152486,62.59,0.1783546202457001,0.82,1.065435041716329,1.1438483417193748,Very Low
2026-04-08,6,22011,24015,20076,1372,6606,0,22126,0,8,1504,992,506,-451,-526,920,demanddata_2026.csv,-5.0,997.0,620.0,-514.0,2111.0,2026-04-08 02:30:00,2026,4,8,2,30,2,Wednesday,0,0.3529879389315497,0.047749973897609,98,0.4999999999999999,0.8660254037844387,0.8660254037844387,-0.4999999999999998,22908.0,20983.0,23273.0,24116.08333333333,22813.875,23768.81845238096,0,1372,28732,0.047749973897609,4043.0,7035.0,0.3195984008722515,0.0,0.0959022351444666,0,1,0.6444933881271943,0.1989112589648319,0,MODERATE,0.2470915572520848,0.6444933881271943,60.79,0.073687731560648,0.82,1.065711344674396,1.1436963967556562,Very Low
2026-04-08,7,21506,23618,19640,1270,6606,0,22126,0,115,1504,993,401,-451,-527,994,demanddata_2026.csv,-5.0,997.0,177.0,-514.0,1900.0,2026-04-08 03:00:00,2026,4,8,3,0,2,Wednesday,0,0.3411197540283136,0.0442000487244631,98,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,22011.0,20410.0,22957.0,23501.5,22836.70833333333,23764.5,0,1270,28732,0.0442000487244631,3569.0,6563.0,0.3051564606872181,0.0,0.088343330078579,0,1,0.6406809231500017,0.1880022466084852,0,MODERATE,0.2387838278198195,0.6406809231500017,54.53,0.1619627381317528,0.82,1.0580073680788815,1.1428367467610543,Very Low
2026-04-08,8,21011,23137,19165,1167,6606,0,22126,0,129,1504,993,383,-451,-527,995,demanddata_2026.csv,-5.0,997.0,126.0,-514.0,1705.0,2026-04-08 03:30:00,2026,4,8,3,30,2,Wednesday,0,0.3284805155540806,0.0406153203633452,98,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,21506.0,20024.0,22665.0,22961.166666666668,22857.27083333333,23759.57738095238,0,1167,28732,0.0406153203633452,3501.0,6495.0,0.309109080525414,0.0,0.0811441081286883,0,1,0.6407140117268078,0.1773092542987989,0,MODERATE,0.2299363608878564,0.6407140117268078,58.77,0.0569123160113821,0.82,1.056902156246614,1.1428442077069367,Very Low
2026-04-08,9,20762,23779,18918,1076,6606,0,22126,0,130,1505,992,-390,-451,-527,602,demanddata_2026.csv,-5.0,997.0,-500.0,-514.0,2079.0,2026-04-08 04:00:00,2026,4,8,4,0,2,Wednesday,0,0.311088036546012,0.0374482302578916,98,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,21011.0,19923.0,22356.0,22536.25,22874.75,23754.83333333333,0,1076,28732,0.0374482302578916,1709.0,6483.0,0.3122381158792082,0.0,0.1001300390117035,0,1,0.6419341425092971,0.1719303551369567,0,MODERATE,0.2177616255822084,0.6419341425092971,63.95,0.2283187637202559,0.82,1.02777657384332,1.1431193277216398,Low
